station_id,name,station_type,latitude,longitude
ul. Grochowska,Warszawa-Grochowska,Stacja monitoringu,52.245703,21.080555
al. Solidarności,Warszawa-Solidarności,Stacja monitoringu,52.243775,20.999843
Al. Niepodległości 227/233,"Warszawa, Al. Niepodległości",Stacja monitoringu,52.219298,21.004724
ul. Wokalna 1,"Warszawa, ul. Wokalna",Stacja monitoringu,52.160772,21.033819
ul. Kondratowicza 8,"Warszawa, ul. Kondratowicza",Stacja monitoringu,52.290864,21.042458
ul. Chrościckiego 16/18,"Warszawa, ul. Chrościckiego",Stacja monitoringu,52.207742,20.906073
ul. Bajkowa 17/21,"Warszawa, ul. Bajkowa",Stacja monitoringu,52.188474,21.176233
Latarnia Krucza-Hoża,Warszawa-263946,Punkt pomiaru,52.227558,21.017551
Latarnia Krucza-Wilcza,Warszawa-263810,Punkt pomiaru,52.225414,21.018834
Hetmańska 25,Warszawa-253786,Punkt pomiaru,52.243166,21.109478
ul. Sarabandy  16/22,Warszawa-253363,Punkt pomiaru,52.113219,21.014701
1 Praskiego Pułku WP 116,Warszawa-253236,Punkt pomiaru,52.224863,21.22249
Teofila Lenartowicza 27,Warszawa-253823,Punkt pomiaru,52.191986,21.017376
Na Uboczu 9,Warszawa-253882,Punkt pomiaru,52.140479,21.048354
Konstytucji 3 Maja 17,Radzymin-254491,Punkt pomiaru,52.414599,21.190226
Latarnia 46652 Płowiecka-Błękitna,Warszawa-254479,Punkt pomiaru,52.227699,21.141758
Kruczkowskiego 12b,Warszawa-254469,Punkt pomiaru,52.235355,21.029272
Wylot 6,Milanówek-254460,Punkt pomiaru,52.13288014999817,20.6765939673812
Papirusów 3/3A,Warszawa-253157,Punkt pomiaru,52.3099392,20.931277758
Latarnia Polna-Kolejowa,Michałów-Reginów-253903,Punkt pomiaru,52.420451798,20.96252622
Przedszkole nr 170 Mahatmy Gandhiego 16,Warszawa-253439,Punkt pomiaru,52.194198,21.005977
Przedszkole nr 384 Janusza Meissnera 8B,Warszawa-252640,Punkt pomiaru,52.223791,21.088191
SP im. gen. Mariusza Zaruskiego w Zielonkach-Parceli Południowa 2,Zielonki-Parcela-253253,Punkt pomiaru,52.24844173304765,20.81734727867835
Przedszkole nr 196 Ludwika Nabielaka 18a,Warszawa-252900,Punkt pomiaru,52.206379,21.0351
Latarnia Witosa-Cmentarz,Krubin-252787,Punkt pomiaru,52.443208378,20.80432308
Przedszkole nr 299 przy Bernardyńskiej Wodzie 13,Warszawa-254463,Punkt pomiaru,52.191276,21.049791
Latarnia 36582 Rondo Daszyńskiego,Warszawa-12784,Punkt pomiaru,52.2301983,20.9847272
Juranda ze Spychowa 10,Warszawa-12899,Punkt pomiaru,52.3161554,21.0330225
Ul. Ostródzka 175,Warszawa-12922,Punkt pomiaru,52.3271433,21.0474026
Młodzieżowa 1,Nowy Dwór Mazowiecki-12793,Punkt pomiaru,52.4153101,20.7411673
Przyczółkowa 27,Warszawa-12868,Punkt pomiaru,52.1206971,21.1019849
Latarnia 6214 Rondo Waszyngtona,Warszawa-12785,Punkt pomiaru,52.2372731,21.052082
Bulwar Karskiego,Warszawa-12809,Punkt pomiaru,52.2558142,21.0121461
Stefana Żeromskiego 22/28,Warszawa-12789,Punkt pomiaru,52.277306024433315,20.948705765795072
Latarnia 85554 Syta-Vogla,Warszawa-9232,Punkt pomiaru,52.164922,21.109801
Szwoleżerów 5,Warszawa-12860,Punkt pomiaru,52.2158122,21.042829
Stanisława Szobera 1/3,Warszawa-12916,Punkt pomiaru,52.235954103909066,20.90175885803207
Żegańska 1,Warszawa-12919,Punkt pomiaru,52.2061468,21.1706175
Latarnia 21452 Jana Kazimierza-Ordona,Warszawa-12936,Punkt pomiaru,52.22628368737779,20.951849754763717
Latarnia nr 24603 - Kępa Potocka,Warszawa-12786,Punkt pomiaru,52.288119,20.979179
Beniamina Flatta 7,Warszawa-12858,Punkt pomiaru,52.1594537,21.0625692
Latarnia 61676 Pole Mokotowskie,Warszawa-12776,Punkt pomiaru,52.21066984633968,20.98913099523784
Objazdowa 3,Warszawa-12822,Punkt pomiaru,52.2578149,21.0608353
Lwa Tołstoja 2,Warszawa-12884,Punkt pomiaru,52.2845476,20.9343121
Milenijna 4,Warszawa-12788,Punkt pomiaru,52.3210169,20.9708956
Tadeusza Kościuszki 17,Izabelin C-12878,Punkt pomiaru,52.2974984,20.8111808
Latarnia Plac Józefa Hallera,Warszawa-9349,Punkt pomiaru,52.2604303,21.0276879
Cietrzewia 22a,Warszawa-12889,Punkt pomiaru,52.2022112,20.9241428
Erazma z Zakroczymia 15,Warszawa-12934,Punkt pomiaru,52.3218577,20.9486072
Przygodna 2,Warszawa-12839,Punkt pomiaru,52.1979753,21.1335934
Jeziorna 5/9,Warszawa-12940,Punkt pomiaru,52.18788801245114,21.071293766824056
Latarnia 3986 Marszałkowska-Nowogrodzka,Warszawa-12781,Punkt pomiaru,52.2285705,21.0127361
Arkuszowa 202,Warszawa-12842,Punkt pomiaru,52.2876451,20.8774411
Walerego Sławka 7,Warszawa-12815,Punkt pomiaru,52.1932115,20.8966899
Witolda Małcużyńskiego 4,Warszawa-12883,Punkt pomiaru,52.136712,21.0555152
Aleja Komandosów 8,Warszawa-12795,Punkt pomiaru,52.2541866,21.1632264
Przytulna 3,Warszawa-12778,Punkt pomiaru,52.3569373,20.982622
Słup sygnalizacyjno-oświetleniowy 30488 Anielewicza-Smocza,Warszawa-12928,Punkt pomiaru,52.2460987,20.9856235
Plac Wojska Polskiego 28,Warszawa-12843,Punkt pomiaru,52.2555496,21.2305108
Latarnia 32579 Kamionkowskie Błonia Elekcyjne,Warszawa-12783,Punkt pomiaru,52.242803,21.067124
Waniliowa 7,Zamienie-12777,Punkt pomiaru,52.1133032,20.9656996
Paluch 2,Warszawa-12861,Punkt pomiaru,52.1563121,20.9620275
Latarnia 33816 Kłobucka-Jurajska,Warszawa-12893,Punkt pomiaru,52.163174309599896,20.992154657455483
Gubinowska 28/30,Warszawa-12771,Punkt pomiaru,52.1743732,21.069013
Pazińskiego 11A,Warszawa-12855,Punkt pomiaru,52.2158384,21.1735649
Gościeradowska 18/20,Warszawa-12892,Punkt pomiaru,52.27456100871742,21.04539619017602
Patriotów 90,Warszawa-12906,Punkt pomiaru,52.1706303,21.2031635
Syrena alarmowa Wolności-Skargi działka 3/1,Ząbki-12780,Punkt pomiaru,52.2996726,21.0952847
Szkolna 7,Konstancin-Jeziorna-8585,Punkt pomiaru,52.0902532,21.1117169
Latarnia 77353 Czerniakowska-Jurija Gagarina,Warszawa-12817,Punkt pomiaru,52.207284932321244,21.048455420252417
Nowoursynowska 92/100,Warszawa-12847,Punkt pomiaru,52.149612801440036,21.06441375431381
Ogrodowa 13,Mysiadło-12869,Punkt pomiaru,52.1010677,21.0018912
Poezji 5,Warszawa-12796,Punkt pomiaru,52.1558153,21.2028352
Latarnia 146935 plac Lelewela,Warszawa-12834,Punkt pomiaru,52.2728827,20.9811903
Ignacego Paderewskiego 45,Warszawa-12923,Punkt pomiaru,52.2632477,21.1561432
Gabriela Narutowicza 275,Otwock-12933,Punkt pomiaru,52.1125135,21.334486
Wacława Tokarza 2,Warszawa-12867,Punkt pomiaru,52.296313,21.0473208
Korsaka 4,Wołomin-12830,Punkt pomiaru,52.341380567188686,21.231097397873324
Mostowa 61,Cisie-12874,Punkt pomiaru,52.2193797,21.4008176
Latarnia 46148 Park Arkadia,Warszawa-12957,Punkt pomiaru,52.191429,21.0276139
Zachodzącego Słońca 25,Warszawa-12794,Punkt pomiaru,52.25980247532371,20.91648587979818
Podróżnicza 11,Warszawa-9426,Punkt pomiaru,52.3262843,20.9731315
Oławska 3,Warszawa-12823,Punkt pomiaru,52.2591974,20.9249311
Rydzowa 1A,Warszawa-12898,Punkt pomiaru,52.1174411,21.0914688
Promienista 12a,Warszawa-12840,Punkt pomiaru,52.2099499,20.9040016
Sycowska 1,Warszawa-12887,Punkt pomiaru,52.1788972,20.9449455
Latarnia 149155 Lazurowa-Człuchowska,Warszawa-12742,Punkt pomiaru,52.22760089438468,20.897244830428402
Aleja Krakowska 257,Warszawa-12775,Punkt pomiaru,52.1921977,20.959207
Latarnia 83582 Park nad Balatonem,Warszawa-12852,Punkt pomiaru,52.22832053070278,21.087790455836306
Latarnia 12707 plac Bankowy,Warszawa-9412,Punkt pomiaru,52.2427716,21.0029674
Bema 312,Nowy Dwór Mazowiecki-8609,Punkt pomiaru,52.4375086,20.6665628
Głębocka 66,Warszawa-12956,Punkt pomiaru,52.31165194128209,21.06676578514428
Samarytanka 11A,Warszawa-12495,Punkt pomiaru,52.2803031,21.0574158
Astronautów 17,Warszawa-12937,Punkt pomiaru,52.184363,20.9730424
Szkolna 6,Lesznowola-12873,Punkt pomiaru,52.0877467,20.9493905
Chemików 1A,Nowy Dwór Mazowiecki-12913,Punkt pomiaru,52.42820709651154,20.72568709512045
Bohaterów 41,Warszawa-12833,Punkt pomiaru,52.3400454,20.9937902
Łączności 56,Łazy-12819,Punkt pomiaru,52.0823418,20.8778324
Estrady 112,Warszawa-12941,Punkt pomiaru,52.3003789,20.8826212
Wilczy Dół 4,Warszawa-13067,Punkt pomiaru,52.1286096,21.0575456
Irysowa 19,Warszawa-12946,Punkt pomiaru,52.1764952,21.0175096
Latarnia Niepodległości-Willowa,Wieliszew-12947,Punkt pomiaru,52.45816,20.9563944
Koryncka 33,Warszawa-12712,Punkt pomiaru,52.2192323,21.1448118
Radzymińska 227,Warszawa-12903,Punkt pomiaru,52.2845129,21.0710064
Cybisa 1,Warszawa-12829,Punkt pomiaru,52.1548889,21.0256936
Długa 10,Nowy Dwór Mazowiecki-12821,Punkt pomiaru,52.4206061,20.7213241
Myśliborska 35,Warszawa-12924,Punkt pomiaru,52.3049031,20.9724785
Latarnia 142480 Tużycka 31,Warszawa-12709,Punkt pomiaru,52.2817074,21.0770465
"Zgrupowania AK ""Kampinos"" 10",Warszawa-12896,Punkt pomiaru,52.2981238,20.932699
Stawki 14,Warszawa-12853,Punkt pomiaru,52.25173644720421,20.98643926442008
Warszawska 28,Karczew-12890,Punkt pomiaru,52.07805202310357,21.244043940466852
Kobiałka 49,Warszawa-12862,Punkt pomiaru,52.3617829,21.0466952
Latarnia 37900 Rondo Wiatraczna,Warszawa-12824,Punkt pomiaru,52.24427940669891,21.084994637967064
Cieplarniana 23,Warszawa-12826,Punkt pomiaru,52.2180541,21.2352878
Okuniewska 115,Halinów-12908,Punkt pomiaru,52.2314475,21.3504517
Latarnia 72131 Puławska-Dolina Służewiecka,Warszawa-12654,Punkt pomiaru,52.16806219160306,21.018123948620666
Latarnia 86924 Targowa-Solidarności,Warszawa-12881,Punkt pomiaru,52.255024,21.0352146
Bogusławskiego 8a,Warszawa-12954,Punkt pomiaru,52.2773724,20.9184457
Szkolna 3,Nowy Dwór Mazowiecki-12814,Punkt pomiaru,52.447872553849194,20.708378857667483
Mikołaja Reja 1,Warszawa-12931,Punkt pomiaru,52.2173858,20.992828
Sosnkowskiego 10,Warszawa-12837,Punkt pomiaru,52.18946,20.8899501
Londyńska 10,Warszawa-12949,Punkt pomiaru,52.2349152,21.0645525
Szegedyńska 13,Warszawa-12872,Punkt pomiaru,52.2921991,20.9422225
latarnia 50066 Lazurowa-Górczewska,Warszawa-8535,Punkt pomiaru,52.23960181815223,20.89689754226543
Żbikowska 5,Piastów-8638,Punkt pomiaru,52.1892192,20.8371253
Latarnia 8841 Al.Jerozolimskie-Kopińska,Warszawa-12711,Punkt pomiaru,52.2184496,20.9685724
Kajakowa 10,Warszawa-8007,Punkt pomiaru,52.1300395,21.0211214
